SITE,PLATAFORMA,E-BIT,RECLAME AQUI
reggaeroots.com.br,magento,Não,Não
ostenformulas.com.br,magento,Não,Não
shopdance.com.br,,Não,Não
maries.com.br,magento,Não,Não
princessjoias.com.br,magento,Não,Não
lagunita.me,magento,Não,Não
canoamarelo.com,magento,Não,Não
hivoox.net,magento,Não,Não
centraldasflores.com.br,magento,Não,Não
eritonmotos.com.br,magento,Não,Não
aduriano.com.br,,Não,Não
dooqle.com,magento,Não,Não
visualsurf.com.br,magento,Não,Não
prfvr.com,,Não,Não
lingery.com.br,magento,Não,Não
elausa.com.br,magento,Não,Não
mktinfo.com.br,nuvemshop,Não,Não
markasports.com.br,,Não,Não
dietsport.com,magento,Não,Não
londonhair.com.br,,Não,Não
capitalhost.com.br,,Não,Não
comocriartcc.com,linx,Não,Não
farmaciaalternativa.com.br,magento,Não,Não
grupouweb.com,,Não,Não
jacauna.com.br,magento,Não,Não
hostadm.com.br,magento,Não,Não
leads.pt,magento,Não,Não
josafabraga.com,magento,Não,Não
ativostore.com,magento,Não,Não
casadocalcados.com.br,jetecommerce,Sim,Não
aatsponline.com,magento,Não,Não
domelly.com.br,,Não,Não
antenadoz.com,tray,Não,Não
tigremaniacos.com.br,magento,Não,Não
tacasdental.com,magento,Não,Não
marcpar.com,,Não,Não
explora.pt,magento,Não,Não
stylebrazil.com.br,magento,Não,Não
lygiamarques.com.br,,Não,Não
passarinha.com,shopify,Não,Não
importeco.com,magento,Não,Não
broto.com.br,magento,Não,Não
paris-sensacional.com,magento,Não,Não
rafbikes.com,,Não,Não
megaessencias.com.br,magento,Não,Não
jacarehomecenter.com.br,,Não,Não
lojasmagento.com.br,magento,Não,Não
sospresentes.com.br,magento,Não,Não
balaogas.com,,Não,Não
reboques-e-atrelados.com,,Não,Não
converse.com.br,magento,Não,Não
cubo9.com,,Não,Não
angoloja.com,magento,Não,Não
aviarte.com.br,magento,Não,Não
eadseculo21.com.br,magento,Não,Não
hotinker.pt,,Não,Não
photocolor.com.br,magento,Não,Não
lalilo.com.br,magento,Não,Não
rymo.com.br,magento,Não,Não
stickerpro.com.br,magento,Não,Não
rnet.com.br,,Não,Não
minasdiet.com,magento,Não,Não
quikimports.com,magento,Não,Não
qualynutri.com.br,magento,Não,Não
suportedistribuidora.com,magento,Não,Não
championsclub.com.br,magento,Não,Não
alphapark.com.br,shopify,Não,Não
maxzon.com.br,,Não,Não
yvanotica.com.br,magento,Não,Não
zionweb.com.br,magento,Não,Não
casajardim.pt,,Não,Não
odhin.com.br,shopify,Não,Não
zapmotos.com,magento,Não,Não
mapyshop.com,,Não,Não
blombo.com,,Não,Não
dumontporcelanas.com.br,,Não,Não
infinitymoveis.com,,Não,Não
nicnan.com.br,magento,Não,Não
alotofbrasil.com.br,,Não,Não
viverbemweb.com,,Não,Não
cooperoeste.com.br,,Não,Não
aplweb.com.br,magento,Não,Não
posit.com.br,,Não,Não
cristalpapelaria.com.br,magento,Não,Não
babyboomkids.com.br,magento,Não,Não
infodicas.net,shopify,Não,Não
viajupiter.com.br,magento,Não,Não
sensualtoys.com.br,magento,Não,Não
rochelli.com.br,,Não,Não
etatpur.pt,magento,Não,Não
swains.com.br,magento,Não,Não
vierge.com.br,shopify,Não,Não
machinesystem.com.br,,Não,Não
forteled.com.br,,Não,Não
madville.com.br,,Não,Não
casadosaco.com.br,,Não,Não
mercadaodastintas.com.br,magento,Não,Não
rockvest.com.br,magento,Não,Não
hpgmusical.com,magento,Não,Não
princebooks.com.br,magento,Não,Não
equinox.com.br,magento,Não,Não
bayoma.com,magento,Sim,Não
koord.com.br,jetecommerce,Não,Não
portuscale.com.br,,Não,Não
pintandoebordando.com.br,,Não,Não
maliboo.com.br,magento,Não,Não
hmc.com.br,magento,Não,Não
medicomfort.pt,magento,Não,Não
supadist.com,,Não,Não
coffeetime.com.br,magento,Não,Não
opcaomoveis.com.br,magento,Não,Não
programaoffice.com,magento,Não,Não
beeight.com.br,magento,Não,Não
allwatts.com.br,magento,Não,Não
principalessencias.com.br,,Não,Não
douglasmedina.com,shopify,Não,Não
memoriadeelefante.pt,magento,Não,Não
7dx.com.br,magento,Não,Não
artpuredigital.com.br,,Não,Não
empflex.com.br,,Não,Não
acquaflora.com.br,magento,Sim,Não
esportesavenida.com.br,,Não,Não
artemanhas.com.br,,Não,Não
lizianerichter.com.br,magento,Não,Não
altwebsite.com.br,,Não,Não
lojasite.com,,Não,Não
toystore.pt,magento,Não,Não
naturhouse.pt,magento,Não,Não
debonne.com.br,magento,Não,Não
iguidelivery.com,magento,Não,Não
costaleste.com.br,magento,Não,Não
cwshop.com.br,magento,Não,Não
docanal.com.br,magento,Não,Não
leverone.com.br,magento,Não,Não
farmaciadolago.com,magento,Não,Não
danjor.com.br,,Não,Não
impactus.com.br,magento,Não,Não
decorsale.com.br,magento,Não,Não
tagg.com.br,magento,Não,Não
tendaweb.net,,Não,Não
maxxfun.com.br,,Não,Não
aeroimports.net,magento,Não,Não
sambinelli.com.br,magento,Não,Não
casah.com.br,magento,Não,Não
logonet.com.br,,Não,Não
angelinicoins.com.br,magento,Não,Não
benessereimport.com,magento,Não,Não
bellotto.com.br,,Não,Não
hommesdesign.com,magento,Não,Não
reidaspraiasboutique.com,,Não,Não
naturalnet.com.br,,Não,Não
lukdiesel.com.br,magento,Não,Não
televit.com.br,magento,Não,Não
lojaodosenxovais.com.br,magento,Não,Não
dvinos.com.br,magento,Não,Não
asimports.com.br,magento,Não,Não
woodmizer.pt,magento,Não,Não
parafutrecos.com.br,magento,Não,Não
cadeirasfamosas.com,magento,Não,Não
comichunter.com.br,magento,Não,Não
blowuposcarfreire.com.br,magento,Não,Não
n2n.com.br,magento,Não,Não
gone.com.br,magento,Não,Não
ifill.com.br,magento,Não,Não
esthederm.pt,magento,Não,Não
southco.com.br,magento,Não,Não
golfshop.com.br,magento,Não,Não
ossos.com.br,magento,Não,Não
vitrinedospes.com.br,,Não,Não
picanteonline.com.br,magento,Não,Não
maisquesorte.com,magento,Não,Não
fofola.com.br,magento,Não,Não
electrocig.pt,magento,Não,Não
love4you.com.br,,Não,Não
produtosdachina.com.br,magento,Não,Não
mundodosoculos.com,magento,Não,Não
controlsafe.com.br,,Não,Não
motelitapua.com,magento,Não,Não
intelmais.com.br,magento,Não,Não
freterapido.com,vtex,Não,Não
lipsoul.com,magento,Não,Não
hector.com.br,magento,Não,Não
atlanticalocacoes.com,,Não,Não
mugenfoods.com,magento,Não,Não
donacharme.com.br,,Não,Não
lojavirtualhomehost.com,magento,Não,Não
papelariauniverso.com.br,magento,Não,Não
bring.com.br,magento,Não,Não
feirapreta.com,magento,Não,Não
uaihost.com.br,,Não,Não
paprika.com.br,magento,Não,Não
mineiraoautolatas.com.br,magento,Não,Não
padimat.pt,,Não,Não
realequipamentos.com,,Não,Não
zenfit.com.br,magento,Não,Não
acmuller.com.br,magento,Não,Não
fabricatekoa.com,magento,Não,Não
risingsunmotorsports.com.br,magento,Não,Não
cyberrock.com.br,magento,Não,Não
charlot.com.br,magento,Não,Não
seguranca.eu,magento,Não,Não
lookmoda.com.br,tray,Não,Não
backupequipamentos.com.br,,Não,Não
2smok.pt,magento,Não,Não
genesiolaranjo.com,magento,Não,Não
bheshop.com.br,magento,Não,Não
seventecsmd.com.br,magento,Não,Não
artiere.eng.br,magento,Não,Não
ggpx.com.br,magento,Não,Não
clpportugal.pt,magento,Não,Não
suplments.pt,magento,Não,Não
vendoguardachuva.com.br,magento,Não,Não
spkinternational.com,magento,Não,Não
infotatil.pt,magento,Não,Não
naturagua.com.br,magento,Não,Não
th5eventos.com.br,shopify,Não,Não
lisbabyekids.com.br,magento,Não,Não
clubedoescritorio.com.br,,Não,Não
velhoamancio.com.br,,Não,Não
esportebrasilbike.com.br,shopify,Não,Não
editoraleader.com.br,,Não,Não
gerenciamais.com.br,magento,Não,Não
guimart.com.br,magento,Não,Não
galeriasmacieira.pt,magento,Não,Não
echaia.com.br,,Não,Não
naturestore.com.br,magento,Não,Não
usepraxis.com.br,,Não,Não
artistasdomundo.com.br,magento,Não,Não
magicvaporizers.pt,magento,Não,Não
palheirosmeialua.com,,Não,Não
confortobaby.com.br,magento,Não,Não
andreabogosian.com.br,magento,Não,Não
isatramas.com,,Não,Não
hostmaxx.net,,Não,Não
movemegastore.com.br,magento,Não,Não
venezaconstrucao.com.br,,Não,Não
goddess.studio,magento,Não,Não
brainstorm.academy,,Não,Não
maksantos.com.br,magento,Não,Não
livrariashalom.org,magento,Não,Não
clube.fit,,Sim,Não
bunzlsaude.com.br,magento,Não,Não
poderosasempre.com.br,,Não,Não
yntenzo.com,magento,Não,Não
galpaocentrooeste.com.br,,Sim,Não
maquinasecafe.com.br,magento,Não,Não
barbaderespeito.com.br,magento,Não,Não
hivoox.pt,magento,Não,Não
microhouserp.com.br,magento,Não,Não
casadomontanhista.com.br,magento,Não,Não
eprapresente.com.br,magento,Não,Não
mariabonitaemartinpescador.com,,Não,Não
telelok.com.br,,Não,Não
prazeresdacasa.com.br,magento,Não,Não
dazz.store,mercadoshops,Não,Não
nooxdesign.com.br,magento,Não,Não
carambaia.com.br,,Não,Não
concremam.com.br,,Não,Não
criandogente.com.br,magento,Não,Não
lojaminasdepresentes.com.br,magento,Não,Não
shllogistica.com.br,magento,Não,Não
tmnethost.com.br,,Não,Não
jeitobrasil.com,,Não,Não
combinado.com.br,magento,Não,Não
ravae-decay.tumblr.com,magento,Não,Não
stonehammer.com.br,magento,Não,Não
mercadodepulgas.com.br,,Não,Não
fourstarimportadora.com.br,magento,Não,Não
charme24.com,shopify,Não,Não
oksnbrasil.com,,Não,Não
shalonmadeiras.com.br,magento,Não,Não
ligiamellosemijoias.com.br,magento,Não,Não
bodymod.pt,magento,Não,Não
hospedaria42.net.br,,Não,Não
apiarioslambertucci.com.br,magento,Não,Não
ocovildovinil.pt,,Não,Não
sentinela.ind.br,tray,Não,Não
floressenciacuritiba.com.br,magento,Não,Não
papelariaqueiroz.com.br,magento,Não,Não
originalworld.tv,,Não,Não
oticasbrilhodosol.com.br,magento,Não,Não
rpointernet.com.br,,Não,Não
produzdigital.com.br,,Não,Não
ground-lion.tumblr.com,magento,Não,Não
purebrasil.pt,,Não,Não
petandfun.com.br,,Não,Não
zomeclothing.com.br,magento,Não,Não
rafaelzen.com,,Não,Não
selloko.com.br,,Não,Não
womendetails.com,magento,Não,Não
wilsonloja.com.br,magento,Não,Não
farmacianaweb.pt,magento,Não,Não
hivoox.com.br,magento,Não,Não
teckprint.com.br,magento,Não,Não
replicasde.com.br,,Não,Não
magento.blog.br,magento,Não,Não
cruiseoficial.com.br,magento,Não,Não
oshadhi.com.br,,Não,Não
estruturapro.com.br,magento,Não,Não
pneu100.com,,Não,Não
attackcomicshop.com.br,shopify,Não,Não
purapet.com.br,magento,Não,Não
all-innature.com,magento,Não,Não
momispetit.com.br,magento,Não,Não
tamppa.com.br,vtex,Não,Não
lojadestakinfo.com.br,magento,Não,Não
cromaefekt.com,magento,Não,Não
essenciaecia.com.br,,Não,Não
lojasantanna.com.br,,Não,Não
tanakaautopecas.com.br,magento,Não,Não
hype-kaminari-kun.tumblr.com,shopify,Não,Não
godegaleria.com.br,magento,Não,Não
handbookonline.com.br,magento,Não,Não
granvine.com,magento,Não,Não
amocasa.com.br,magento,Não,Não
thauro.com.br,magento,Sim,Não
tabacariahilton.com.br,magento,Não,Não
reidastintas.net.br,magento,Não,Não
michellecalcados.com.br,magento,Não,Não
nacontatotem.com.br,magento,Não,Não
shopnetpiscinas.com.br,magento,Não,Não
mxfrevenda.com.br,,Não,Não
souenergy.com.br,magento,Não,Não
apheliajoias.com,,Não,Não
mrphone.pt,magento,Não,Não
csnsuplementos.com.br,,Não,Não
aipresshost.com.br,magento,Não,Não
botanatrilha.com.br,,Não,Não
betoscar.com.br,magento,Não,Não
dropnet.com.br,magento,Não,Não
biossance.com.br,shopify,Sim,Não
ecommercegenius.shop,shopify,Não,Não
shaperfitness.com.br,magento,Não,Não
bigfontedasessencias.com.br,magento,Não,Não
msodre-maquinas.com,magento,Não,Não
2lig.com.br,vtex,Não,Não
marracloud.com,,Não,Não
linktoner.com.br,,Não,Não
naturerealnutrition.com,magento,Não,Não
agromercador.ag,magento,Não,Não
aerosus.pt,magento,Não,Não
alternativafotoproduto.com.br,,Não,Não
armarinhoivo.com.br,magento,Não,Não
abcofficemoveis.com.br,tray,Não,Não
decar.net.br,magento,Não,Não
arteouro.com.br,,Não,Não
arrest.com.br,magento,Não,Não
atacadominasdepresentes.com.br,magento,Não,Não
bonitasnaweb.com.br,magento,Não,Não
casabertozzi.com.br,magento,Não,Não
boutiquedomake.com.br,,Não,Não
cervejariaartesamalt.com.br,magento,Não,Não
cbmlajeado.com.br,magento,Não,Não
bolasspin.com.br,magento,Não,Não
coisasquecompramos.com.br,magento,Não,Não
clinicafrigo.com.br,shopify,Não,Não
casadaborra.com.br,,Não,Não
balaometalizado.com.br,magento,Não,Não
cellco.com.br,,Não,Não
coexistjoias.com.br,magento,Não,Não
coplanmarcenaria.com.br,magento,Não,Não
controlvita.com.br,magento,Não,Não
criacaodesitestecninja.com.br,,Não,Não
centraldastintas.com.br,,Não,Não
digipowerstore.com.br,magento,Não,Não
courobolsas.com.br,magento,Não,Não
destinosul.com.br,magento,Não,Não
donatohost.com.br,magento,Não,Não
distribuidordetoner.com.br,,Não,Não
corrieribrasil.com.br,magento,Não,Não
everestmotos.com.br,,Não,Não
flashtechbh.com.br,shopify,Não,Não
emporiodopapainoel.com.br,magento,Não,Não
eletrocan.com.br,magento,Não,Não
giovanaromana.com.br,,Não,Não
farmaciasubstancia.com.br,magento,Não,Não
emporioestiva.com.br,magento,Não,Não
fortfenix.com.br,magento,Não,Não
gagopecas.com.br,magento,Não,Não
graficagaspar.com.br,,Não,Não
edutintas.com.br,magento,Não,Não
gemasdaterra.com.br,magento,Não,Não
hddrogariadelivery.com.br,magento,Não,Não
hypper.com.br,magento,Não,Não
fasapecas.com.br,,Não,Não
imprimepecas.com.br,magento,Não,Não
ibratecbrasil.com.br,,Não,Não
grupoullian.com.br,tray,Não,Não
jogoarte.com.br,magento,Não,Não
jpalfaias.com.br,,Não,Não
joupi.com.br,magento,Não,Não
kvequipamentos.ind.br,,Não,Não
kilojaobrinquedos.com.br,magento,Não,Não
lemonhome.com.br,magento,Não,Não
libranetworks.com.br,,Não,Não
leafpurificadores.com.br,magento,Não,Não
lidifarma.com.br,magento,Não,Não
loja.gunsmithsairguns.com.br,magento,Não,Não
loja.modelismoalpha.com.br,magento,Não,Não
loja.afixgraf.com.br,magento,Não,Não
loja.fischer.com.br,magento,Sim,Não
loja.jonnysize.com.br,magento,Não,Não
lojasalomon.com.br,magento,Não,Não
lojaalvorada.com.br,magento,Não,Não
lojamagna.com.br,magento,Não,Não
lojaremax.com.br,,Não,Não
londigital.com.br,,Não,Não
lojasprata.com.br,magento,Não,Não
maisprazer.com.br,shopify,Não,Não
markauniformes.com.br,magento,Não,Não
lojapatriciagoedert.com.br,magento,Não,Não
masterhigiex.com.br,,Não,Não
mercadocountry.com.br,magento,Não,Não
meldica.com.br,,Não,Não
naupirata.com.br,magento,Não,Não
naweb.net.br,,Não,Não
mixfresh.com.br,magento,Não,Não
medicinalcuritiba.com.br,,Não,Não
nutrecao.com.br,magento,Não,Não
ortodentel.com.br,magento,Não,Não
pesqhouse.com.br,,Não,Não
painelalfa.net.br,,Não,Não
metalnobreacabamentos.com.br,magento,Não,Não
podcastmegastore.com.br,magento,Não,Não
prorelaxstore.com.br,magento,Não,Não
pinceiscassia.com.br,magento,Não,Não
printcompany.com.br,,Não,Não
rbinfo.com.br,magento,Não,Não
rendapreta.com.br,magento,Não,Não
opticasella.com.br,magento,Não,Não
sexyvinteeoito.com.br,,Não,Não
shop.weblibre.com.br,magento,Não,Não
silviojoalheiro.com.br,,Não,Não
silmarbrinquedos.com.br,,Não,Não
shoppingnemawashi.com.br,magento,Não,Não
soropecas.com.br,magento,Não,Não
snookerbahia.com.br,magento,Não,Não
salvadorcomercial.com.br,magento,Não,Não
rehlus.com.br,magento,Não,Não
similimusica.com.br,magento,Não,Não
suapeca.com.br,magento,Não,Não
soluarjoias.com.br,magento,Não,Não
tanakao.com.br,magento,Não,Não
templates.net.br,magento,Não,Não
salaodejogos.com.br,magento,Não,Não
tonerideal.com.br,,Não,Não
tintasastral.com.br,magento,Não,Não
tonerplus.com.br,,Não,Não
texblun.com.br,,Não,Não
stemplates.com.br,,Não,Não
vendas.ferquima.com.br,magento,Não,Não
unitraje.com.br,,Não,Não
tuttidecor.com.br,magento,Não,Não
lokaraudiovisual.com,magento,Não,Não
caneiro.pt,magento,Não,Não
vilakonceito.com.br,magento,Não,Não
toquedeclassecolchoes.com.br,,Não,Não
grafipronto.pt,magento,Não,Não
dentalexpress.pt,magento,Não,Não
centralaluno.com,magento,Não,Não
featoon.com,,Não,Não
fernandoswinehouse.pt,magento,Não,Não
nreventoselocacoes.com.br,,Não,Não
ecoshark.pt,magento,Não,Não
tonercerto.com.br,,Não,Não
lojapolos.com.br,magento,Não,Não
clinicahenriqueribeiro.com,magento,Não,Não
canto.net.br,magento,Sim,Não
lmbalcoes.com.br,magento,Não,Não
josephfelix.dev,,Não,Não
tattooloja.com.br,tray,Não,Não
ebfs.pt,magento,Não,Não
lilieseroses.com.br,magento,Não,Não
lojatopbirra.com.br,magento,Não,Não
lojapreditiva.com,magento,Não,Não
webshop24.pt,,Não,Não
paesroma.com.br,,Não,Não
melaromas.com,magento,Não,Não
acerobotaseuropa.com,magento,Não,Não
faceadsparaecommerce.com.br,,Não,Não
lojavitrinne.com,magento,Não,Não
bigxop.com,magento,Não,Não
psprotseg.com,magento,Não,Não
maryjohnoutlet.com,,Não,Não
brunafer.com.br,,Não,Não
lojaelymartins.com.br,,Não,Não
handcola.com,magento,Não,Não
editoraurukum.com.br,shopify,Não,Não
ameipresentes.com.br,tray,Não,Não
gioijoias.com.br,magento,Não,Não
personalalfaiate.com,magento,Não,Não
suanimeneghetti.com,,Não,Não
curiosites.com.br,magento,Não,Não
atletascomestilo.com,,Não,Não
singularbaby.com.br,magento,Sim,Não
fantincosmeticos.com.br,magento,Não,Não
megasake.com.br,,Não,Não
vicbela.com.br,magento,Não,Não
turkesestore.com.br,magento,Não,Não
calibre6airsoft.com,magento,Não,Não
acontecetecnologia.com.br,magento,Não,Não
bravaastore.com.br,magento,Não,Não
solchapeus.com,,Não,Não
varejopinceiscassia.com.br,magento,Não,Não
bemdecora.com.br,magento,Não,Não
lojavirtualsintesc.com.br,magento,Não,Não
editorapedaletra.com.br,magento,Não,Não
printertree.pt,magento,Não,Não
magazinemegahouse.com,magento,Não,Não
eletricapneumaticabt.com.br,magento,Não,Não
letsride.blog,magento,Não,Não
institutopadrereus.net,magento,Não,Não
hospedagemnerd.com.br,,Não,Não
emporionaturela.com.br,magento,Não,Não
jamedeiros.com,magento,Não,Não
paradaprincipal.com,magento,Não,Não
midiacriativa.top,,Não,Não
emmim.top,,Não,Não
bikelivre.shop,magento,Não,Não
newtonconsultoria.com.br,magento,Não,Não
artelaria.com.br,magento,Não,Não
lojacanalpanda.com,magento,Não,Não
emporionaval.com.br,magento,Não,Não
lojaduchef.com.br,,Não,Não
cencmais.com,,Não,Não
bicicletasamotor.pt,shopify,Não,Não
theresilientstore.com,magento,Não,Não
pluginbrasil.com,,Não,Não
paradaprincipal.com.br,magento,Não,Não
casariosonline.com.br,magento,Não,Não
dominatrixxxstore.com.br,magento,Não,Não
blackdragonbatteries.com,,Não,Não
federaldistintivos.com.br,,Não,Não
dovaltintas.com.br,magento,Não,Não
elviracare.com,magento,Não,Não
cinthiaazevedo.com,magento,Não,Não
ecosoli.com.br,magento,Não,Não
offmaxsuspensions.com,magento,Não,Não
mercadonanuvem.com,magento,Não,Não
gtstore.online,magento,Não,Não
alvoradaautopecas.com.br,,Não,Não
bazara.co.mz,magento,Não,Não
gcshop.com.br,,Não,Não
acquarellapayment.online,,Não,Não
reidoabajur.com.br,magento,Não,Não
centralpharmabr.com,magento,Não,Não
lojascoplana.com,magento,Sim,Não
facilpersianas.dev,magento,Sim,Não
saudavelecia.com,,Não,Não
nagatashoes.com.br,magento,Não,Não
megatoon.org,magento,Não,Não
atacadeiras.com.br,magento,Não,Não
wickey.pt,magento,Não,Não
sokind.com.br,magento,Não,Não
edinaldoxavier.com.br,vtex,Não,Não
drogarianaweb.com.br,magento,Não,Não
4uscosmetic.com,shopify,Não,Não
procenter.co.ao,magento,Não,Não
naturalistasdobrasil.com,magento,Não,Não
topoil.com.br,,Não,Não
qbelamulher.com.br,magento,Não,Não
adi-il.nl,shopify,Não,Não
foalwestern.com.br,magento,Não,Não
ellabless.com,magento,Não,Não
adi-il.de,shopify,Não,Não
armazematacadista.com.br,,Não,Não
biscoitosgostocaseiro.com.br,,Não,Não
dmfesportes.com.br,magento,Não,Não
adi-il.tw,shopify,Não,Não
apuldelivery.com.br,magento,Não,Não
befitstore.com.br,,Não,Não
yomogui.com.br,magento,Não,Não
feiraodoscabelos.com.br,magento,Não,Não
lejadejoias.com.br,magento,Sim,Não
homebrewbrazil.com.br,magento,Não,Não
adi-il.pt,shopify,Não,Não
blitergpl.com.br,shopify,Não,Não
grupoyokohama.com.br,magento,Não,Não
braspower.com.br,,Não,Não
zappmetais.net.br,,Não,Não
essenciabotanica.com.br,magento,Não,Não
fabricadesinteticos.com.br,magento,Não,Não
farmaciaqualifarma.com.br,magento,Não,Não
maisdecasa.com.br,magento,Sim,Não
tropicalderm.com.br,magento,Não,Não
bedinthebox.com.br,magento,Não,Não
conceptuniformes.com.br,magento,Não,Não
debaitashop.com.br,magento,Não,Não
grandeatacado.com.br,,Não,Não
dropify.com.br,tray,Não,Não
lojabrtouch.com.br,,Não,Não
lojakingkoilprudente.com.br,magento,Não,Não
tubaraotintas.com.br,magento,Não,Não
idealecasaoficial.com.br,magento,Não,Não
luartsbijouterias.com.br,,Não,Não
lojavirtualassiste.ind.br,magento,Não,Não
